"id","chr","start","end","strand","breast_normal","breast_cancer","colon_normal","colon_cancer","lung_normal","lung_cancer","pancreas_normal","pancreas_cancer","NET_cancer","thyroid_normal","thyroid_cancer"
273445,chr11,123899,123899,*,0.8202,0.8038,0.7594,0.6953,0.8001,0.7312,0.8343,0.7711,0.8068,0.8213,0.8261
273446,chr11,127495,127495,*,0.6434,0.637,0.655,0.678,0.6592,0.6204,0.665,0.6796,0.6711,0.6863,0.6577
273447,chr11,127514,127514,*,0.8577,0.851,0.8602,0.8281,0.8609,0.8482,0.8683,0.8774,0.8249,0.8707,0.8577
273448,chr11,128492,128492,*,0.7703,0.7772,0.8311,0.8122,0.841,0.8156,0.8398,0.8182,0.7302,0.8295,0.8265
273449,chr11,129632,129632,*,0.9002,0.8952,0.9121,0.9194,0.9393,0.9128,0.91,0.9142,0.8133,0.9173,0.9164
273450,chr11,130586,130586,*,0.8276,0.8523,0.8115,0.7408,0.8226,0.8082,0.8446,0.812,0.7859,0.8328,0.8423
273451,chr11,131996,131996,*,0.5962,0.5462,0.6553,0.5301,0.6257,0.5466,0.6217,0.5938,0.5538,0.6525,0.6188
273452,chr11,132411,132411,*,0.781,0.7148,0.8315,0.8263,0.8217,0.8275,0.8507,0.8509,0.8025,0.833,0.8208
273453,chr11,189654,189654,*,0.9451,0.9013,0.9562,0.9231,0.9575,0.8907,0.9791,0.9744,0.9148,0.9793,0.9809
273454,chr11,190242,190242,*,0.7369,0.6459,0.731,0.5672,0.7845,0.6225,0.8089,0.7172,0.7406,0.8571,0.8795
273455,chr11,192096,192096,*,0.0411,0.0382,0.043,0.0328,0.0519,0.0464,0.1271,0.0568,0.0326,0.1391,0.0555
273456,chr11,192141,192141,*,0.0532,0.0607,0.0524,0.0471,0.0523,0.0831,0.231,0.0505,0.0463,0.059,0.0504
273457,chr11,192763,192763,*,0.821,0.7849,0.8172,0.7116,0.8445,0.7876,0.5542,0.8145,0.6217,0.8383,0.8277
273458,chr11,192897,192897,*,0.8436,0.7993,0.6468,0.5114,0.8255,0.7223,0.5284,0.7677,0.4886,0.7893,0.7584
273459,chr11,192996,192996,*,0.4576,0.3843,0.4111,0.3447,0.4869,0.4361,0.3544,0.4512,0.2722,0.3721,0.3435
273460,chr11,193016,193016,*,0.6137,0.5058,0.577,0.424,0.6751,0.555,0.4373,0.5683,0.3358,0.4609,0.4376
273461,chr11,193021,193021,*,0.5446,0.4874,0.5105,0.4272,0.5729,0.491,0.4541,0.507,0.3508,0.4656,0.3951
