"id","chr","start","end"
1,chr1,28735,29810
2,chr1,135124,135563
3,chr1,327790,328229
4,chr1,437151,438164
5,chr1,449273,450544
6,chr1,533219,534114
7,chr1,544738,546649
8,chr1,713984,714547
9,chr1,762416,763445
10,chr1,788863,789211
11,chr1,801975,802338
12,chr1,805198,805628
13,chr1,839694,840619
14,chr1,844299,845883
15,chr1,854765,854973
16,chr1,858970,861632
17,chr1,869332,871872
18,chr1,875730,878363
19,chr1,886356,886602
20,chr1,894313,902654
21,chr1,906296,906538
22,chr1,912869,913153
23,chr1,919726,919927
24,chr1,933387,937410
25,chr1,948670,948894
26,chr1,949329,949851
27,chr1,954768,956343
28,chr1,963795,964507
29,chr1,967966,970238
30,chr1,975496,980305
31,chr1,981068,981400
32,chr1,982152,982511
33,chr1,983174,983612
34,chr1,984206,984429
35,chr1,990274,990694
36,chr1,994436,995303
37,chr1,999678,999911
38,chr1,1002663,1005318
39,chr1,1011509,1013402
40,chr1,1016863,1017439
41,chr1,1018099,1018390
42,chr1,1019818,1020026
43,chr1,1023143,1023347
44,chr1,1024075,1024614
45,chr1,1026377,1026625
46,chr1,1027509,1027730
47,chr1,1046044,1046340
48,chr1,1050515,1050830
49,chr1,1051178,1052445
50,chr1,1072369,1072847
51,chr1,1093211,1093476
52,chr1,1098043,1100584
53,chr1,1109314,1110145
54,chr1,1115574,1116006
55,chr1,1132827,1133218
56,chr1,1136360,1137156
57,chr1,1141670,1142150
58,chr1,1145568,1145878
59,chr1,1146708,1146914
60,chr1,1149055,1149524
61,chr1,1152522,1153134
62,chr1,1153784,1154419
63,chr1,1159168,1159528
64,chr1,1161959,1162281
65,chr1,1163502,1163895
66,chr1,1167001,1168985
67,chr1,1173915,1174263
68,chr1,1177885,1178207
69,chr1,1181756,1182470
70,chr1,1189396,1190245
71,chr1,1190522,1190799
72,chr1,1203166,1203597
73,chr1,1208515,1209942
74,chr1,1228780,1230163
75,chr1,1242400,1245185
76,chr1,1247918,1248493
77,chr1,1254322,1254548
78,chr1,1259643,1260635
79,chr1,1262665,1263420
80,chr1,1265206,1265429
81,chr1,1267085,1267286
82,chr1,1267435,1268986
83,chr1,1271425,1272074
84,chr1,1272377,1272634
85,chr1,1283933,1285345
86,chr1,1289707,1291126
87,chr1,1309140,1311039
88,chr1,1322644,1322924
89,chr1,1334071,1335602
90,chr1,1342004,1342952
91,chr1,1355159,1356000
92,chr1,1361560,1361787
93,chr1,1362954,1363299
94,chr1,1370767,1371449
95,chr1,1374461,1375584
96,chr1,1389555,1389889
97,chr1,1396085,1396338
98,chr1,1406844,1407821
99,chr1,1414034,1414532
100,chr1,1417285,1417753
101,chr1,1420226,1420684
102,chr1,1444588,1444849
103,chr1,1446878,1448205
104,chr1,1452701,1453199
105,chr1,1455302,1455892
106,chr1,1456829,1457074
107,chr1,1457954,1459029
108,chr1,1464508,1464806
109,chr1,1470604,1471450
110,chr1,1473107,1473342
111,chr1,1474962,1475220
112,chr1,1476093,1476669
113,chr1,1489532,1489794
114,chr1,1496761,1496986
115,chr1,1509482,1510747
116,chr1,1534331,1536136
117,chr1,1550453,1552015
118,chr1,1558587,1559359
119,chr1,1560780,1561055
120,chr1,1562049,1562398
121,chr1,1563674,1564032
122,chr1,1564421,1570006
123,chr1,1571032,1571470
124,chr1,1580377,1580595
125,chr1,1590073,1590942
126,chr1,1600981,1601231
127,chr1,1602391,1602686
128,chr1,1607898,1608243
129,chr1,1623610,1625067
130,chr1,1631086,1633226
131,chr1,1634252,1634690
132,chr1,1643593,1643811
133,chr1,1655395,1656231
134,chr1,1670756,1671101
135,chr1,1676885,1678333
136,chr1,1685373,1685971
137,chr1,1691767,1692063
138,chr1,1709394,1710582
139,chr1,1713639,1714141
140,chr1,1821405,1823272
141,chr1,1839958,1840601
142,chr1,1850098,1851391
143,chr1,1859246,1859523
144,chr1,1874715,1875015
145,chr1,1875617,1875877
146,chr1,1886344,1886870
147,chr1,1896414,1896628
148,chr1,1897581,1897786
149,chr1,1910268,1913800
150,chr1,1935166,1935452
151,chr1,1950411,1951479
152,chr1,1957046,1957386
153,chr1,1959414,1959867
154,chr1,1960942,1961148
155,chr1,1961407,1961850
156,chr1,1974686,1974942
157,chr1,1976123,1976628
158,chr1,1981251,1983212
159,chr1,1990779,1991171
160,chr1,2005179,2005565
161,chr1,2025205,2026225
162,chr1,2038555,2038863
163,chr1,2040997,2041302
164,chr1,2046429,2046865
165,chr1,2063782,2064052
166,chr1,2064628,2064855
167,chr1,2066367,2066666
168,chr1,2082314,2082529
169,chr1,2116432,2116801
170,chr1,2121017,2121818
171,chr1,2126048,2126642
